# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC9040,1431007,1431007
CDAC9040,1431008,1431008
CDAC9040,1431009,1431009
CDAC9040,1432001,1432001
CDAC9040,1432002,1432002
CDAC9040,1432003,1432003
CDAC9040,1432004,1432004
CDAC9040,1432005,1432005
CDAC9040,1432006,1432006
CDAC9040,1432007,1432007
CDAC9040,1432008,1432008
CDAC9040,1432009,1432009
CDAC9040,1433011,1433011
CDAC9040,1433012,1433012
CDAC9040,1433013,1433013
CDAC9040,1433014,1433014
CDAC9040,1433015,1433015
CDAC9040,1433016,1433016
CDAC9040,1433017,1433017
CDAC9040,1433018,1433018
CDAC9040,1433019,1433019
CDAC9040,1433021,1433021
CDAC9040,1433022,1433022
CDAC9040,1433023,1433023
CDAC9040,1433024,1433024
CDAC9040,1433025,1433025
CDAC9040,1433026,1433026
CDAC9040,1433027,1433027
CDAC9040,1433028,1433028
CDAC9040,1433029,1433029
CDAC9040,1433031,1433031
CDAC9040,1433032,1433032
CDAC9040,1433033,1433033
CDAC9040,1433034,1433034
CDAC9040,1433035,1433035
CDAC9040,1433036,1433036
CDAC9040,1433037,1433037
CDAC9040,1433038,1433038
CDAC9040,1433039,1433039
CDAC9040,1433041,1433041
CDAC9040,1433042,1433042
CDAC9040,1433043,1433043
CDAC9040,1433044,1433044
CDAC9040,1433045,1433045
CDAC9040,1433046,1433046
CDAC9040,1433047,1433047
CDAC9040,1433048,1433048
CDAC9040,1433049,1433049
CDAC9040,1433991,1433991
CDAC9040,1433992,1433992
CDAC9040,1433993,1433993
CDAC9040,1433994,1433994
CDAC9040,1433995,1433995
CDAC9040,1433996,1433996
CDAC9040,1433997,1433997
CDAC9040,1433998,1433998
CDAC9040,1433999,1433999
CDAC9040,1434011,1434011
CDAC9040,1434012,1434012
CDAC9040,1434013,1434013
CDAC9040,1434014,1434014
CDAC9040,1434015,1434015
CDAC9040,1434016,1434016
CDAC9040,1434017,1434017
CDAC9040,1434018,1434018
CDAC9040,1434019,1434019
CDAC9040,1434021,1434021
CDAC9040,1434022,1434022
CDAC9040,1434023,1434023
CDAC9040,1434024,1434024
CDAC9040,1434025,1434025
CDAC9040,1434026,1434026
CDAC9040,1434027,1434027
CDAC9040,1434028,1434028
CDAC9040,1434029,1434029
CDAC9040,1434031,1434031
CDAC9040,1434032,1434032
CDAC9040,1434033,1434033
CDAC9040,1434034,1434034
CDAC9040,1434035,1434035
CDAC9040,1434036,1434036
CDAC9040,1434037,1434037
CDAC9040,1434038,1434038
CDAC9040,1434039,1434039
CDAC9040,1434041,1434041
CDAC9040,1434042,1434042
CDAC9040,1434043,1434043
CDAC9040,1434044,1434044
CDAC9040,1434045,1434045
CDAC9040,1434046,1434046
CDAC9040,1434047,1434047
CDAC9040,1434048,1434048
CDAC9040,1434049,1434049
CDAC9040,1434991,1434991
CDAC9040,1434992,1434992
CDAC9040,1434993,1434993
CDAC9040,1434994,1434994
CDAC9040,1434995,1434995
CDAC9040,1434996,1434996
CDAC9040,1434997,1434997
CDAC9040,1434998,1434998
CDAC9040,1434999,1434999
CDAC9040,1435001,1435001
CDAC9040,1435002,1435002
CDAC9040,1435003,1435003
CDAC9040,1435004,1435004
CDAC9040,1435005,1435005
CDAC9040,1435006,1435006
CDAC9040,1435007,1435007
CDAC9040,1435008,1435008
CDAC9040,1435009,1435009
CDAC9040,1436011,1436011
CDAC9040,1436012,1436012
CDAC9040,1436013,1436013
CDAC9040,1436014,1436014
CDAC9040,1436015,1436015
CDAC9040,1436016,1436016
CDAC9040,1436017,1436017
CDAC9040,1436018,1436018
CDAC9040,1436019,1436019
CDAC9040,1436021,1436021
CDAC9040,1436022,1436022
CDAC9040,1436023,1436023
CDAC9040,1436024,1436024
CDAC9040,1436025,1436025
CDAC9040,1436026,1436026
CDAC9040,1436027,1436027
CDAC9040,1436028,1436028
CDAC9040,1436029,1436029
CDAC9040,1436031,1436031
CDAC9040,1436032,1436032
CDAC9040,1436033,1436033
CDAC9040,1436034,1436034
CDAC9040,1436035,1436035
CDAC9040,1436036,1436036
CDAC9040,1436037,1436037
CDAC9040,1436038,1436038
CDAC9040,1436039,1436039
CDAC9040,1436991,1436991
CDAC9040,1436992,1436992
CDAC9040,1436993,1436993
CDAC9040,1436994,1436994
CDAC9040,1436995,1436995
CDAC9040,1436996,1436996
CDAC9040,1436997,1436997
CDAC9040,1436998,1436998
CDAC9040,1436999,1436999
CDAC9040,1437001,1437001
CDAC9040,1437002,1437002
CDAC9040,1437003,1437003
CDAC9040,1437004,1437004
CDAC9040,1437005,1437005
CDAC9040,1437006,1437006
CDAC9040,1437007,1437007
CDAC9040,1437008,1437008
CDAC9040,1437009,1437009
CDAC9040,1438001,1438001
CDAC9040,1438002,1438002
CDAC9040,1438003,1438003
CDAC9040,1438004,1438004
CDAC9040,1438005,1438005
CDAC9040,1438006,1438006
CDAC9040,1438007,1438007
CDAC9040,1438008,1438008
CDAC9040,1438009,1438009
CDAC9040,1439001,1439001
CDAC9040,1439002,1439002
CDAC9040,1439003,1439003
CDAC9040,1439004,1439004
CDAC9040,1439005,1439005
CDAC9040,1439006,1439006
CDAC9040,1439007,1439007
CDAC9040,1439008,1439008
CDAC9040,1439009,1439009
CDAC9040,1490001,1490001
CDAC9040,1490002,1490002
CDAC9040,1490003,1490003
CDAC9040,1490004,1490004
CDAC9040,1490005,1490005
CDAC9040,1490006,1490006
CDAC9040,1490007,1490007
CDAC9040,1490008,1490008
CDAC9040,1490009,1490009
CDAC9040,1511001,1511001
CDAC9040,1511002,1511002
CDAC9040,1511003,1511003
CDAC9040,1511004,1511004
CDAC9040,1511005,1511005
CDAC9040,1511006,1511006
CDAC9040,1511007,1511007
CDAC9040,1511008,1511008
CDAC9040,1511009,1511009
CDAC9040,1512001,1512001
CDAC9040,1512002,1512002
CDAC9040,1512003,1512003
CDAC9040,1512004,1512004
CDAC9040,1512005,1512005
CDAC9040,1512006,1512006
CDAC9040,1512007,1512007
CDAC9040,1512008,1512008
CDAC9040,1512009,1512009
CDAC9040,1513001,1513001
CDAC9040,1513002,1513002
CDAC9040,1513003,1513003
CDAC9040,1513004,1513004
CDAC9040,1513005,1513005
CDAC9040,1513006,1513006
CDAC9040,1513007,1513007
CDAC9040,1513008,1513008
CDAC9040,1513009,1513009
CDAC9040,1514011,1514011
CDAC9040,1514012,1514012
CDAC9040,1514013,1514013
CDAC9040,1514014,1514014
CDAC9040,1514015,1514015
CDAC9040,1514016,1514016
CDAC9040,1514017,1514017
CDAC9040,1514018,1514018
CDAC9040,1514019,1514019
CDAC9040,1514021,1514021
CDAC9040,1514022,1514022
CDAC9040,1514023,1514023
CDAC9040,1514024,1514024
CDAC9040,1514025,1514025
CDAC9040,1514026,1514026
CDAC9040,1514027,1514027
CDAC9040,1514028,1514028
CDAC9040,1514029,1514029
CDAC9040,1514031,1514031
CDAC9040,1514032,1514032
CDAC9040,1514033,1514033
CDAC9040,1514034,1514034
CDAC9040,1514035,1514035
CDAC9040,1514036,1514036
CDAC9040,1514037,1514037
CDAC9040,1514038,1514038
CDAC9040,1514039,1514039
CDAC9040,1514041,1514041
CDAC9040,1514042,1514042
CDAC9040,1514043,1514043
CDAC9040,1514044,1514044
CDAC9040,1514045,1514045
CDAC9040,1514046,1514046
CDAC9040,1514047,1514047
CDAC9040,1514048,1514048
CDAC9040,1514049,1514049
CDAC9040,1514051,1514051
CDAC9040,1514052,1514052
CDAC9040,1514053,1514053
CDAC9040,1514054,1514054
CDAC9040,1514055,1514055
CDAC9040,1514056,1514056
CDAC9040,1514057,1514057
CDAC9040,1514058,1514058
CDAC9040,1514059,1514059
CDAC9040,1514061,1514061
CDAC9040,1514062,1514062
CDAC9040,1514063,1514063
CDAC9040,1514064,1514064
CDAC9040,1514065,1514065
CDAC9040,1514066,1514066
CDAC9040,1514067,1514067
CDAC9040,1514068,1514068
CDAC9040,1514069,1514069
CDAC9040,1514071,1514071
CDAC9040,1514072,1514072
CDAC9040,1514073,1514073
CDAC9040,1514074,1514074
CDAC9040,1514075,1514075
CDAC9040,1514076,1514076
CDAC9040,1514077,1514077
CDAC9040,1514078,1514078
CDAC9040,1514079,1514079
CDAC9040,1514991,1514991
CDAC9040,1514992,1514992
CDAC9040,1514993,1514993
CDAC9040,1514994,1514994
CDAC9040,1514995,1514995
CDAC9040,1514996,1514996
CDAC9040,1514997,1514997
CDAC9040,1514998,1514998
CDAC9040,1514999,1514999
CDAC9040,1515001,1515001
CDAC9040,1515002,1515002
CDAC9040,1515003,1515003
CDAC9040,1515004,1515004
CDAC9040,1515005,1515005
CDAC9040,1515006,1515006
CDAC9040,1515007,1515007
CDAC9040,1515008,1515008
CDAC9040,1515009,1515009
CDAC9040,1516011,1516011
CDAC9040,1516012,1516012
CDAC9040,1516013,1516013
CDAC9040,1516014,1516014
CDAC9040,1516015,1516015
CDAC9040,1516016,1516016
CDAC9040,1516017,1516017
CDAC9040,1516018,1516018
CDAC9040,1516019,1516019
CDAC9040,1516021,1516021
CDAC9040,1516022,1516022
CDAC9040,1516023,1516023
CDAC9040,1516024,1516024
CDAC9040,1516025,1516025
CDAC9040,1516026,1516026
CDAC9040,1516027,1516027
CDAC9040,1516028,1516028
CDAC9040,1516029,1516029
CDAC9040,1516031,1516031
CDAC9040,1516032,1516032
CDAC9040,1516033,1516033
CDAC9040,1516034,1516034
CDAC9040,1516035,1516035
CDAC9040,1516036,1516036
CDAC9040,1516037,1516037
CDAC9040,1516038,1516038
CDAC9040,1516039,1516039
CDAC9040,1516991,1516991
CDAC9040,1516992,1516992
CDAC9040,1516993,1516993
CDAC9040,1516994,1516994
CDAC9040,1516995,1516995
CDAC9040,1516996,1516996
CDAC9040,1516997,1516997
CDAC9040,1516998,1516998
CDAC9040,1516999,1516999
CDAC9040,1517011,1517011
CDAC9040,1517012,1517012
CDAC9040,1517013,1517013
CDAC9040,1517014,1517014
CDAC9040,1517015,1517015
CDAC9040,1517016,1517016
CDAC9040,1517017,1517017
CDAC9040,1517018,1517018
CDAC9040,1517019,1517019
CDAC9040,1517021,1517021
CDAC9040,1517022,1517022
CDAC9040,1517023,1517023
CDAC9040,1517024,1517024
CDAC9040,1517025,1517025
CDAC9040,1517026,1517026
CDAC9040,1517027,1517027
CDAC9040,1517028,1517028
CDAC9040,1517029,1517029
CDAC9040,1517031,1517031
CDAC9040,1517032,1517032
CDAC9040,1517033,1517033
CDAC9040,1517034,1517034
CDAC9040,1517035,1517035
CDAC9040,1517036,1517036
CDAC9040,1517037,1517037
CDAC9040,1517038,1517038
CDAC9040,1517039,1517039
CDAC9040,1517991,1517991
CDAC9040,1517992,1517992
CDAC9040,1517993,1517993
CDAC9040,1517994,1517994
CDAC9040,1517995,1517995
CDAC9040,1517996,1517996
CDAC9040,1517997,1517997
CDAC9040,1517998,1517998
CDAC9040,1517999,1517999
CDAC9040,1518001,1518001
CDAC9040,1518002,1518002
CDAC9040,1518003,1518003
CDAC9040,1518004,1518004
CDAC9040,1518005,1518005
CDAC9040,1518006,1518006
CDAC9040,1518007,1518007
CDAC9040,1518008,1518008
CDAC9040,1518009,1518009
CDAC9040,1519001,1519001
CDAC9040,1519002,1519002
CDAC9040,1519003,1519003
CDAC9040,1519004,1519004
CDAC9040,1519005,1519005
CDAC9040,1519006,1519006
CDAC9040,1519007,1519007
CDAC9040,1519008,1519008
CDAC9040,1519009,1519009
CDAC9040,1521001,1521001
CDAC9040,1521002,1521002
CDAC9040,1521003,1521003
CDAC9040,1521004,1521004
CDAC9040,1521005,1521005
CDAC9040,1521006,1521006
CDAC9040,1521007,1521007
CDAC9040,1521008,1521008
CDAC9040,1521009,1521009
CDAC9040,1522001,1522001
CDAC9040,1522002,1522002
CDAC9040,1522003,1522003
CDAC9040,1522004,1522004
CDAC9040,1522005,1522005
CDAC9040,1522006,1522006
CDAC9040,1522007,1522007
CDAC9040,1522008,1522008
CDAC9040,1522009,1522009
CDAC9040,1523011,1523011
CDAC9040,1523012,1523012
CDAC9040,1523013,1523013
CDAC9040,1523014,1523014
CDAC9040,1523015,1523015
CDAC9040,1523016,1523016
CDAC9040,1523017,1523017
CDAC9040,1523018,1523018
CDAC9040,1523019,1523019
CDAC9040,1523021,1523021
CDAC9040,1523022,1523022
CDAC9040,1523023,1523023
CDAC9040,1523024,1523024
CDAC9040,1523025,1523025
CDAC9040,1523026,1523026
CDAC9040,1523027,1523027
CDAC9040,1523028,1523028
CDAC9040,1523029,1523029
CDAC9040,1523031,1523031
CDAC9040,1523032,1523032
CDAC9040,1523033,1523033
CDAC9040,1523034,1523034
CDAC9040,1523035,1523035
CDAC9040,1523036,1523036
CDAC9040,1523037,1523037
CDAC9040,1523038,1523038
CDAC9040,1523039,1523039
CDAC9040,1523041,1523041
CDAC9040,1523042,1523042
CDAC9040,1523043,1523043
CDAC9040,1523044,1523044
CDAC9040,1523045,1523045
CDAC9040,1523046,1523046
CDAC9040,1523047,1523047
CDAC9040,1523048,1523048
CDAC9040,1523049,1523049
CDAC9040,1523051,1523051
CDAC9040,1523052,1523052
CDAC9040,1523053,1523053
CDAC9040,1523054,1523054
CDAC9040,1523055,1523055
CDAC9040,1523056,1523056
CDAC9040,1523057,1523057
CDAC9040,1523058,1523058
CDAC9040,1523059,1523059
CDAC9040,1523991,1523991
CDAC9040,1523992,1523992
CDAC9040,1523993,1523993
CDAC9040,1523994,1523994
CDAC9040,1523995,1523995
CDAC9040,1523996,1523996
CDAC9040,1523997,1523997
CDAC9040,1523998,1523998
CDAC9040,1523999,1523999
CDAC9040,1524011,1524011
CDAC9040,1524012,1524012
CDAC9040,1524013,1524013
CDAC9040,1524014,1524014
CDAC9040,1524015,1524015
CDAC9040,1524016,1524016
CDAC9040,1524017,1524017
CDAC9040,1524018,1524018
CDAC9040,1524019,1524019
CDAC9040,1524021,1524021
CDAC9040,1524022,1524022
CDAC9040,1524023,1524023
CDAC9040,1524024,1524024
CDAC9040,1524025,1524025
CDAC9040,1524026,1524026
CDAC9040,1524027,1524027
CDAC9040,1524028,1524028
CDAC9040,1524029,1524029
CDAC9040,1524031,1524031
CDAC9040,1524032,1524032
CDAC9040,1524033,1524033
CDAC9040,1524034,1524034
CDAC9040,1524035,1524035
CDAC9040,1524036,1524036
CDAC9040,1524037,1524037
CDAC9040,1524038,1524038
CDAC9040,1524039,1524039
CDAC9040,1524041,1524041
CDAC9040,1524042,1524042
CDAC9040,1524043,1524043
CDAC9040,1524044,1524044
CDAC9040,1524045,1524045
CDAC9040,1524046,1524046
CDAC9040,1524047,1524047
CDAC9040,1524048,1524048
CDAC9040,1524049,1524049
CDAC9040,1524051,1524051
CDAC9040,1524052,1524052
CDAC9040,1524053,1524053
CDAC9040,1524054,1524054
CDAC9040,1524055,1524055
CDAC9040,1524056,1524056
CDAC9040,1524057,1524057
CDAC9040,1524058,1524058
CDAC9040,1524059,1524059
CDAC9040,1524061,1524061
CDAC9040,1524062,1524062
CDAC9040,1524063,1524063
CDAC9040,1524064,1524064
CDAC9040,1524065,1524065
CDAC9040,1524066,1524066
CDAC9040,1524067,1524067
CDAC9040,1524068,1524068
CDAC9040,1524069,1524069
CDAC9040,1524071,1524071
CDAC9040,1524072,1524072
CDAC9040,1524073,1524073
CDAC9040,1524074,1524074
CDAC9040,1524075,1524075
CDAC9040,1524076,1524076
CDAC9040,1524077,1524077
CDAC9040,1524078,1524078
CDAC9040,1524079,1524079
CDAC9040,1524081,1524081
CDAC9040,1524082,1524082
CDAC9040,1524083,1524083
CDAC9040,1524084,1524084
CDAC9040,1524085,1524085
CDAC9040,1524086,1524086
CDAC9040,1524087,1524087
CDAC9040,1524088,1524088
CDAC9040,1524089,1524089
CDAC9040,1524091,1524091
CDAC9040,1524092,1524092
CDAC9040,1524093,1524093
CDAC9040,1524094,1524094
CDAC9040,1524095,1524095
CDAC9040,1524096,1524096
CDAC9040,1524097,1524097
CDAC9040,1524098,1524098
CDAC9040,1524099,1524099
CDAC9040,1524101,1524101
CDAC9040,1524102,1524102
CDAC9040,1524103,1524103
CDAC9040,1524104,1524104
CDAC9040,1524105,1524105
CDAC9040,1524106,1524106
CDAC9040,1524107,1524107
CDAC9040,1524108,1524108
CDAC9040,1524109,1524109
CDAC9040,1524111,1524111
CDAC9040,1524112,1524112
CDAC9040,1524113,1524113
CDAC9040,1524114,1524114
CDAC9040,1524115,1524115
CDAC9040,1524116,1524116
CDAC9040,1524117,1524117
CDAC9040,1524118,1524118
CDAC9040,1524119,1524119
CDAC9040,1524121,1524121
CDAC9040,1524122,1524122
CDAC9040,1524123,1524123
CDAC9040,1524124,1524124
CDAC9040,1524125,1524125
CDAC9040,1524126,1524126
CDAC9040,1524127,1524127
CDAC9040,1524128,1524128
CDAC9040,1524129,1524129
CDAC9040,1524991,1524991
CDAC9040,1524992,1524992
CDAC9040,1524993,1524993
CDAC9040,1524994,1524994
CDAC9040,1524995,1524995
CDAC9040,1524996,1524996
CDAC9040,1524997,1524997
CDAC9040,1524998,1524998
CDAC9040,1524999,1524999
CDAC9040,1525001,1525001
CDAC9040,1525002,1525002
CDAC9040,1525003,1525003
CDAC9040,1525004,1525004
CDAC9040,1525005,1525005
CDAC9040,1525006,1525006
CDAC9040,1525007,1525007
CDAC9040,1525008,1525008
CDAC9040,1525009,1525009
CDAC9040,1526011,1526011
CDAC9040,1526012,1526012
CDAC9040,1526013,1526013
CDAC9040,1526014,1526014
CDAC9040,1526015,1526015
CDAC9040,1526016,1526016
CDAC9040,1526017,1526017
CDAC9040,1526018,1526018
CDAC9040,1526019,1526019
CDAC9040,1526021,1526021
CDAC9040,1526022,1526022
CDAC9040,1526023,1526023
CDAC9040,1526024,1526024
CDAC9040,1526025,1526025
CDAC9040,1526026,1526026
CDAC9040,1526027,1526027
CDAC9040,1526028,1526028
CDAC9040,1526029,1526029
CDAC9040,1526031,1526031
CDAC9040,1526032,1526032
CDAC9040,1526033,1526033
CDAC9040,1526034,1526034
CDAC9040,1526035,1526035
CDAC9040,1526036,1526036
CDAC9040,1526037,1526037
CDAC9040,1526038,1526038
CDAC9040,1526039,1526039
CDAC9040,1526991,1526991
CDAC9040,1526992,1526992
CDAC9040,1526993,1526993
CDAC9040,1526994,1526994
CDAC9040,1526995,1526995
CDAC9040,1526996,1526996
CDAC9040,1526997,1526997
CDAC9040,1526998,1526998
CDAC9040,1526999,1526999
CDAC9040,1527001,1527001
CDAC9040,1527002,1527002
CDAC9040,1527003,1527003
CDAC9040,1527004,1527004
CDAC9040,1527005,1527005
CDAC9040,1527006,1527006
CDAC9040,1527007,1527007
CDAC9040,1527008,1527008
CDAC9040,1527009,1527009
CDAC9040,1528001,1528001
CDAC9040,1528002,1528002
CDAC9040,1528003,1528003
CDAC9040,1528004,1528004
CDAC9040,1528005,1528005
CDAC9040,1528006,1528006
CDAC9040,1528007,1528007
CDAC9040,1528008,1528008
CDAC9040,1528009,1528009
CDAC9040,1529001,1529001
CDAC9040,1529002,1529002
CDAC9040,1529003,1529003
CDAC9040,1529004,1529004
CDAC9040,1529005,1529005
CDAC9040,1529006,1529006
CDAC9040,1529007,1529007
CDAC9040,1529008,1529008
CDAC9040,1529009,1529009
CDAC9040,1590001,1590001
CDAC9040,1590002,1590002
CDAC9040,1590003,1590003
CDAC9040,1590004,1590004
CDAC9040,1590005,1590005
CDAC9040,1590006,1590006
CDAC9040,1590007,1590007
CDAC9040,1590008,1590008
CDAC9040,1590009,1590009
CDAC9040,1600000,1600000
CDAC9040,1711000,1711000
CDAC9040,1712010,1712010
CDAC9040,1712020,1712020
CDAC9040,1712030,1712030
CDAC9040,1712040,1712040
CDAC9040,1712050,1712050
CDAC9040,1712990,1712990
CDAC9040,1718000,1718000
CDAC9040,1719000,1719000
CDAC9040,1721000,1721000
CDAC9040,1722010,1722010
CDAC9040,1722020,1722020
CDAC9040,1722030,1722030
CDAC9040,1722040,1722040
CDAC9040,1722050,1722050
CDAC9040,1722060,1722060
CDAC9040,1722070,1722070
CDAC9040,1722080,1722080
CDAC9040,1722090,1722090
CDAC9040,1722100,1722100
CDAC9040,1722110,1722110
CDAC9040,1722120,1722120
CDAC9040,1722130,1722130
CDAC9040,1722140,1722140
CDAC9040,1722990,1722990
CDAC9040,1723010,1723010
CDAC9040,1723020,1723020
CDAC9040,1723030,1723030
CDAC9040,1723040,1723040
CDAC9040,1723050,1723050
CDAC9040,1723060,1723060
CDAC9040,1723070,1723070
CDAC9040,1723080,1723080
CDAC9040,1723090,1723090
CDAC9040,1723100,1723100
CDAC9040,1723110,1723110
CDAC9040,1723120,1723120
CDAC9040,1723130,1723130
CDAC9040,1723140,1723140
CDAC9040,1723990,1723990
CDAC9040,1728000,1728000
CDAC9040,1729000,1729000
CDAC9040,1731000,1731000
CDAC9040,1732010,1732010
CDAC9040,1732020,1732020
CDAC9040,1732030,1732030
CDAC9040,1732040,1732040
CDAC9040,1732050,1732050
CDAC9040,1732060,1732060
CDAC9040,1732070,1732070
CDAC9040,1732990,1732990
CDAC9040,1738000,1738000
CDAC9040,1739000,1739000
CDAC9040,1741000,1741000
CDAC9040,1742010,1742010
CDAC9040,1742020,1742020
CDAC9040,1742030,1742030
CDAC9040,1742040,1742040
CDAC9040,1742050,1742050
CDAC9040,1742060,1742060
CDAC9040,1742070,1742070
CDAC9040,1742080,1742080
CDAC9040,1742090,1742090
CDAC9040,1742990,1742990
CDAC9040,1743010,1743010
CDAC9040,1743020,1743020
CDAC9040,1743030,1743030
CDAC9040,1743040,1743040
CDAC9040,1743050,1743050
CDAC9040,1743060,1743060
CDAC9040,1743070,1743070
CDAC9040,1743080,1743080
CDAC9040,1743090,1743090
CDAC9040,1743990,1743990
CDAC9040,1744010,1744010
CDAC9040,1744020,1744020
CDAC9040,1744030,1744030
CDAC9040,1744040,1744040
CDAC9040,1744050,1744050
CDAC9040,1744060,1744060
CDAC9040,1744070,1744070
CDAC9040,1744080,1744080
CDAC9040,1744090,1744090
CDAC9040,1744990,1744990
CDAC9040,1745000,1745000
CDAC9040,1746010,1746010
CDAC9040,1746020,1746020
CDAC9040,1746030,1746030
CDAC9040,1746990,1746990
CDAC9040,1747000,1747000
CDAC9040,1748000,1748000
CDAC9040,1749000,1749000
CDAC9040,1751000,1751000
CDAC9040,1752010,1752010
CDAC9040,1752020,1752020
CDAC9040,1752030,1752030
CDAC9040,1752040,1752040
CDAC9040,1752050,1752050
CDAC9040,1752060,1752060
CDAC9040,1752070,1752070
CDAC9040,1752080,1752080
CDAC9040,1752090,1752090
CDAC9040,1752990,1752990
CDAC9040,1753010,1753010
CDAC9040,1753020,1753020
CDAC9040,1753030,1753030
CDAC9040,1753040,1753040
CDAC9040,1753050,1753050
CDAC9040,1753060,1753060
CDAC9040,1753070,1753070
CDAC9040,1753080,1753080
CDAC9040,1753090,1753090
CDAC9040,1753990,1753990
CDAC9040,1754010,1754010
CDAC9040,1754020,1754020
CDAC9040,1754030,1754030
CDAC9040,1754040,1754040
CDAC9040,1754050,1754050
CDAC9040,1754060,1754060
CDAC9040,1754070,1754070
CDAC9040,1754080,1754080
CDAC9040,1754090,1754090
CDAC9040,1754990,1754990
CDAC9040,1758000,1758000
CDAC9040,1759000,1759000
CDAC9040,1790000,1790000
CDAC9040,1811000,1811000
CDAC9040,1812010,1812010
CDAC9040,1812020,1812020
CDAC9040,1812030,1812030
CDAC9040,1812040,1812040
CDAC9040,1812050,1812050
CDAC9040,1812990,1812990
CDAC9040,1813010,1813010
CDAC9040,1813020,1813020
CDAC9040,1813030,1813030
CDAC9040,1813040,1813040
CDAC9040,1813050,1813050
CDAC9040,1813060,1813060
CDAC9040,1813070,1813070
CDAC9040,1813080,1813080
CDAC9040,1813990,1813990
CDAC9040,1814010,1814010
CDAC9040,1814020,1814020
CDAC9040,1814030,1814030
CDAC9040,1814040,1814040
CDAC9040,1814050,1814050
CDAC9040,1814060,1814060
CDAC9040,1814070,1814070
CDAC9040,1814080,1814080
CDAC9040,1814990,1814990
CDAC9040,1815000,1815000
CDAC9040,1816010,1816010
CDAC9040,1816020,1816020
CDAC9040,1816030,1816030
CDAC9040,1816990,1816990
CDAC9040,1817000,1817000
CDAC9040,1818000,1818000
CDAC9040,1819000,1819000
CDAC9040,1821000,1821000
CDAC9040,1822000,1822000
CDAC9040,1823010,1823010
CDAC9040,1823020,1823020
CDAC9040,1823030,1823030
CDAC9040,1823040,1823040
CDAC9040,1823050,1823050
CDAC9040,1823060,1823060
CDAC9040,1823070,1823070
CDAC9040,1823080,1823080
CDAC9040,1823090,1823090
CDAC9040,1823100,1823100
CDAC9040,1823110,1823110
CDAC9040,1823990,1823990
CDAC9040,1824010,1824010
CDAC9040,1824020,1824020
CDAC9040,1824030,1824030
CDAC9040,1824040,1824040
CDAC9040,1824050,1824050
CDAC9040,1824060,1824060
CDAC9040,1824070,1824070
CDAC9040,1824080,1824080
CDAC9040,1824100,1824100
CDAC9040,1824110,1824110
CDAC9040,1824990,1824990
CDAC9040,1825000,1825000
CDAC9040,1826010,1826010
CDAC9040,1826020,1826020
CDAC9040,1826030,1826030
CDAC9040,1826990,1826990
CDAC9040,1827000,1827000
CDAC9040,1828000,1828000
CDAC9040,1829000,1829000
CDAC9040,1831000,1831000
CDAC9040,1832000,1832000
CDAC9040,1833010,1833010
CDAC9040,1833020,1833020
CDAC9040,1833030,1833030
CDAC9040,1833040,1833040
CDAC9040,1833050,1833050
CDAC9040,1833060,1833060
CDAC9040,1833070,1833070
CDAC9040,1833990,1833990
CDAC9040,1834010,1834010
CDAC9040,1834020,1834020
CDAC9040,1834030,1834030
CDAC9040,1834040,1834040
CDAC9040,1834050,1834050
CDAC9040,1834060,1834060
CDAC9040,1834070,1834070
CDAC9040,1834990,1834990
CDAC9040,1835000,1835000
CDAC9040,1836010,1836010
CDAC9040,1836020,1836020
CDAC9040,1836030,1836030
CDAC9040,1836990,1836990
CDAC9040,1837000,1837000
CDAC9040,1838000,1838000
CDAC9040,1839000,1839000
CDAC9040,1841000,1841000
CDAC9040,1842000,1842000
CDAC9040,1843010,1843010
CDAC9040,1843020,1843020
CDAC9040,1843030,1843030
CDAC9040,1843040,1843040
CDAC9040,1843050,1843050
CDAC9040,1843060,1843060
CDAC9040,1843070,1843070
CDAC9040,1843080,1843080
CDAC9040,1843090,1843090
CDAC9040,1843100,1843100
CDAC9040,1843110,1843110
CDAC9040,1843120,1843120
CDAC9040,1843130,1843130
CDAC9040,1843140,1843140
CDAC9040,1843150,1843150
CDAC9040,1843160,1843160
CDAC9040,1843170,1843170
CDAC9040,1843990,1843990
CDAC9040,1844010,1844010
CDAC9040,1844020,1844020
CDAC9040,1844030,1844030
CDAC9040,1844040,1844040
CDAC9040,1844050,1844050
CDAC9040,1844060,1844060
CDAC9040,1844070,1844070
CDAC9040,1844080,1844080
CDAC9040,1844090,1844090
CDAC9040,1844100,1844100
CDAC9040,1844110,1844110
CDAC9040,1844120,1844120
CDAC9040,1844130,1844130
CDAC9040,1844140,1844140
CDAC9040,1844150,1844150
CDAC9040,1844160,1844160
CDAC9040,1844170,1844170
CDAC9040,1844990,1844990
CDAC9040,1845000,1845000
CDAC9040,1846010,1846010
CDAC9040,1846020,1846020
CDAC9040,1846030,1846030
CDAC9040,1846990,1846990
CDAC9040,1847000,1847000
CDAC9040,1848000,1848000
CDAC9040,1849000,1849000
CDAC9040,1851000,1851000
CDAC9040,1852000,1852000
CDAC9040,1853010,1853010
CDAC9040,1853020,1853020
CDAC9040,1853030,1853030
CDAC9040,1853040,1853040
CDAC9040,1853050,1853050
CDAC9040,1853060,1853060
CDAC9040,1853990,1853990
CDAC9040,1854010,1854010
