# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC3290,11307,水系,一級水系 一級河川 直轄区間,相模川水系
CDAC3290,11308,水系,一級水系 一級河川 直轄区間,富士川水系
CDAC3290,11401,水系,一級水系 一級河川 直轄区間,荒川水系
CDAC3290,11402,水系,一級水系 一級河川 直轄区間,阿賀野川水系
CDAC3290,11403,水系,一級水系 一級河川 直轄区間,信濃川水系
CDAC3290,11404,水系,一級水系 一級河川 直轄区間,関川水系
CDAC3290,11405,水系,一級水系 一級河川 直轄区間,姫川水系
CDAC3290,11406,水系,一級水系 一級河川 直轄区間,黒部川水系
CDAC3290,11407,水系,一級水系 一級河川 直轄区間,常願寺川水系
CDAC3290,11408,水系,一級水系 一級河川 直轄区間,神通川水系
CDAC3290,11409,水系,一級水系 一級河川 直轄区間,庄川水系
CDAC3290,11410,水系,一級水系 一級河川 直轄区間,小矢部川水系
CDAC3290,11411,水系,一級水系 一級河川 直轄区間,手取川水系
CDAC3290,11412,水系,一級水系 一級河川 直轄区間,梯川水系
CDAC3290,11501,水系,一級水系 一級河川 直轄区間,狩野川水系
CDAC3290,11502,水系,一級水系 一級河川 直轄区間,安倍川水系
CDAC3290,11503,水系,一級水系 一級河川 直轄区間,大井川水系
CDAC3290,11504,水系,一級水系 一級河川 直轄区間,菊川水系
CDAC3290,11505,水系,一級水系 一級河川 直轄区間,天竜川水系
CDAC3290,11506,水系,一級水系 一級河川 直轄区間,豊川水系
CDAC3290,11507,水系,一級水系 一級河川 直轄区間,矢作川水系
CDAC3290,11508,水系,一級水系 一級河川 直轄区間,庄内川水系
CDAC3290,11509,水系,一級水系 一級河川 直轄区間,木曽川水系
CDAC3290,11510,水系,一級水系 一級河川 直轄区間,鈴鹿川水系
CDAC3290,11511,水系,一級水系 一級河川 直轄区間,雲出川水系
CDAC3290,11512,水系,一級水系 一級河川 直轄区間,櫛田川水系
CDAC3290,11513,水系,一級水系 一級河川 直轄区間,宮川水系
CDAC3290,11601,水系,一級水系 一級河川 直轄区間,新宮川水系
CDAC3290,11602,水系,一級水系 一級河川 直轄区間,紀の川水系
CDAC3290,11603,水系,一級水系 一級河川 直轄区間,大和川水系
CDAC3290,11604,水系,一級水系 一級河川 直轄区間,淀川水系
CDAC3290,11605,水系,一級水系 一級河川 直轄区間,加古川水系
CDAC3290,11606,水系,一級水系 一級河川 直轄区間,揖保川水系
